symbol,method_of_action,cosmic_moa,intogen_moa,huang_et_al_moa,gene_id,dataset_name
CDKN1A,LoF,,LoF,,SIDG04181,Driver genes
CDKN1B,LoF,TSG,LoF,Not classified,SIDG04183,"Driver genes, CPV genes"
CDKN2A,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG04185,"Driver genes, CPV genes"
CDKN2C,LoF,TSG,LoF,,SIDG04194,Driver genes
CDX2,ambiguous,"TSG, fusion",Act,,SIDG04229,Driver genes
CEBPA,ambiguous,TSG,ambiguous,Oncogene,SIDG04285,"Driver genes, CPV genes"
CEP43,fusion,fusion,,,SIDG09087,Driver genes
CHCHD7,fusion,fusion,,,SIDG04540,Driver genes
CHD2,LoF,,LoF,,SIDG04544,Driver genes
CHD4,Act,oncogene,Act,,SIDG04546,Driver genes
CHEK2,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG04554,"Driver genes, CPV genes"
CIC,ambiguous,"oncogene, TSG, fusion",LoF,,SIDG04675,Driver genes
CIITA,ambiguous,"TSG, fusion",Act,,SIDG04708,Driver genes
CLIP1,LoF,fusion,LoF,,SIDG04858,Driver genes
CLTC,ambiguous,"TSG, fusion",Act,,SIDG04905,Driver genes
CLTCL1,ambiguous,"TSG, fusion",Act,,SIDG04907,Driver genes
CMTR2,LoF,,LoF,,SIDG04962,Driver genes
CNBP,LoF,"TSG, fusion",,,SIDG04969,Driver genes
CNOT3,ambiguous,TSG,Act,,SIDG05011,Driver genes
CNTRL,fusion,fusion,,,SIDG05065,Driver genes
COL1A1,Act,fusion,Act,,SIDG05089,Driver genes
COL2A1,fusion,fusion,,,SIDG05093,Driver genes
CPEB3,Act,,Act,,SIDG05319,Driver genes
CR1,ambiguous,,ambiguous,,SIDG05369,Driver genes
CREB1,Act,"oncogene, fusion",,,SIDG05386,Driver genes
CREB3L1,LoF,"TSG, fusion",,,SIDG05388,Driver genes
CREB3L2,Act,"oncogene, fusion",,,SIDG05389,Driver genes
CREBBP,ambiguous,"oncogene, TSG, fusion",LoF,,SIDG05393,Driver genes
CRLF2,Act,"oncogene, fusion",,,SIDG05424,Driver genes
CRNKL1,Act,,Act,,SIDG05429,Driver genes
CRTC1,ambiguous,"oncogene, fusion",ambiguous,,SIDG05445,Driver genes
CRTC3,fusion,fusion,,,SIDG05447,Driver genes
CSF3R,Act,oncogene,Act,,SIDG05503,Driver genes
CTCF,LoF,TSG,LoF,,SIDG05645,Driver genes
CTNNB1,Act,"oncogene, fusion",Act,,SIDG05669,Driver genes
CUL3,LoF,,LoF,,SIDG05725,Driver genes
CUX1,ambiguous,"oncogene, TSG",ambiguous,,SIDG05735,Driver genes
CXCR4,Act,oncogene,Act,,SIDG05773,Driver genes
CYLD,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG05873,"Driver genes, CPV genes"
CYP2C8,LoF,,LoF,,SIDG05892,Driver genes
CYSLTR2,Act,,Act,,SIDG06001,Driver genes
DAXX,ambiguous,"oncogene, TSG",LoF,,SIDG06056,Driver genes
DAZAP1,LoF,,LoF,,SIDG06061,Driver genes
DCAF12L2,Act,,Act,,SIDG06104,Driver genes
DCC,LoF,,LoF,,SIDG06116,Driver genes
DCSTAMP,Act,,Act,,SIDG06142,Driver genes
DCTN1,fusion,fusion,,,SIDG06145,Driver genes
DDB2,ambiguous,"oncogene, TSG",LoF,Tumor Suppressor Gene,SIDG06166,"Driver genes, CPV genes"
DDIT3,Act,"oncogene, fusion",,,SIDG06174,Driver genes
DDR2,Act,oncogene,,,SIDG06184,Driver genes
DDX10,LoF,"TSG, fusion",,,SIDG06202,Driver genes
DDX3X,LoF,TSG,LoF,,SIDG06194,Driver genes
DDX5,Act,"oncogene, fusion",,,SIDG06197,Driver genes
DDX6,ambiguous,"oncogene, fusion",ambiguous,,SIDG06198,Driver genes
DEK,Act,"oncogene, fusion",,,SIDG06359,Driver genes
DGCR8,LoF,,LoF,,SIDG06490,Driver genes
DHX9,Act,,Act,,SIDG06541,Driver genes
DICER1,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG06566,"Driver genes, CPV genes"
DIS3,LoF,,LoF,,SIDG06591,Driver genes
DNAJB1,LoF,fusion,LoF,,SIDG06724,Driver genes
DNM2,LoF,TSG,,,SIDG06841,Driver genes
DNMT3A,LoF,TSG,LoF,,SIDG06848,Driver genes
DOT1L,LoF,,LoF,,SIDG06888,Driver genes
DROSHA,LoF,TSG,LoF,Not classified,SIDG06992,"Driver genes, CPV genes"
DTX1,ambiguous,,ambiguous,,SIDG07036,Driver genes
