symbol,method_of_action,cosmic_moa,intogen_moa,huang_et_al_moa,gene_id,dataset_name
MAP2K4,ambiguous,"oncogene, TSG",LoF,,SIDG17195,Driver genes
MAP2K7,LoF,,LoF,,SIDG17199,Driver genes
MAP3K1,ambiguous,"oncogene, TSG",LoF,,SIDG17200,Driver genes
MAP3K13,ambiguous,"oncogene, TSG",,,SIDG17213,Driver genes
MAPK1,Act,oncogene,Act,,SIDG17235,Driver genes
MARK2,ambiguous,,ambiguous,,SIDG17298,Driver genes
MAX,ambiguous,TSG,Act,Tumor Suppressor Gene,SIDG17350,"Driver genes, CPV genes"
MB21D2,LoF,,LoF,,SIDG17353,Driver genes
MCM3AP,ambiguous,,ambiguous,,SIDG17421,Driver genes
MDM2,Act,oncogene,Act,,SIDG17467,Driver genes
MDM4,Act,oncogene,Act,,SIDG17468,Driver genes
MECOM,Act,"oncogene, fusion",Act,,SIDG17480,Driver genes
MED12,ambiguous,TSG,Act,,SIDG17493,Driver genes
MEF2B,LoF,,LoF,,SIDG17537,Driver genes
MEN1,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG17577,"Driver genes, CPV genes"
MET,Act,oncogene,Act,Oncogene,SIDG17604,"Driver genes, CPV genes"
MGA,LoF,,LoF,,SIDG17682,Driver genes
MITF,Act,oncogene,,,SIDG19770,Driver genes
MLF1,LoF,"TSG, fusion",,,SIDG19801,Driver genes
MLH1,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG19803,"Driver genes, CPV genes"
MLLT1,Act,fusion,Act,,SIDG19809,Driver genes
MLLT10,Act,"oncogene, fusion",,,SIDG19812,Driver genes
MLLT11,fusion,fusion,,,SIDG19815,Driver genes
MLLT3,Act,fusion,Act,,SIDG19810,Driver genes
MLLT6,fusion,fusion,,,SIDG19811,Driver genes
MN1,Act,"oncogene, fusion",,,SIDG19870,Driver genes
MPL,Act,oncogene,,,SIDG19953,Driver genes
MRTFA,ambiguous,"oncogene, TSG, fusion",,,SIDG19775,Driver genes
MSH2,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG20308,"Driver genes, CPV genes"
MSH6,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG20313,"Driver genes, CPV genes"
MSI2,ambiguous,"oncogene, fusion",ambiguous,,SIDG20315,Driver genes
MSN,ambiguous,fusion,ambiguous,,SIDG20359,Driver genes
MTCP1,Act,"oncogene, fusion",Act,,SIDG20623,Driver genes
MTOR,Act,oncogene,Act,,SIDG20992,Driver genes
MUC1,fusion,fusion,,,SIDG21035,Driver genes
MUTYH,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG21067,"Driver genes, CPV genes"
MYB,Act,"oncogene, fusion",,,SIDG21087,Driver genes
MYC,Act,"oncogene, fusion",Act,,SIDG21097,Driver genes
MYCL,Act,oncogene,,,SIDG21103,Driver genes
MYCN,Act,oncogene,Act,,SIDG21108,Driver genes
MYD88,Act,oncogene,Act,,SIDG21113,Driver genes
MYH11,Act,fusion,Act,,SIDG21129,Driver genes
MYH9,ambiguous,"TSG, fusion",Act,,SIDG21127,Driver genes
MYO5A,ambiguous,fusion,ambiguous,,SIDG21183,Driver genes
MYOD1,Act,oncogene,,,SIDG21206,Driver genes
